C2,R21,RCC2,MFR,Tensile Modulus,Flexural Modulus,Impact Strength
10.5,20.7,50.8,47,1090,978,8.9
10.6,20.9,50.7,48,1065,946,9.3
11.8,23.2,50.8,45,987,866,11.3
9.9,20.6,48.1,49,1227,1067,9.6
10.9,21.3,51.2,47,1243,1030,10.5
11.4,24.2,47.1,47,1073,965,9.6
10.4,21,49.5,51,1212,1065,8.9
10.7,23.3,45.9,49,1077,935,10.7
9.8,19.7,49.7,47,1247,1096,8.9
11.5,22.1,52,45,1053,1040,12.9
9,18.7,48.1,50,1322,1230,7.1
9.7,20.1,48.4,46,1241,1200,7.9
11.8,23.9,49.4,48,1093,1030,8.9
11.9,24.1,49.4,45,1078,1040,9.4
11,23.3,47.2,47,1073,1050,10.3
11,22.5,48.9,53,1139,1090,8.2
10.9,24.4,44.7,48,1050,1000,11.4
8.6,17.8,48.3,49,1359,1270,8.8
11,24.2,45.5,49,962,935,13.7
11,24.3,45.3,46,971,932,13.9
10.6,23.7,44.8,48,1060,1010,11.2
11,24,45.8,45,1081,1020,13.5
11.6,24,48.4,46,983,968,12.5
10.3,23,44.8,45,1187,1180,9.6
10,24,41.7,47,1054,964,11.9
8,18,44.4,50,1328,1270,7.1
9.9,23.8,41.6,45,1060,1030,12.4
8.2,17.6,46.6,80,1174,1140,7.1
8.3,17.2,48.3,80,1210,1173,8
8.8,17.6,50,80,1183,1155,7.5
8,17.7,45.2,80,1214,1179,7.4
7.7,18,42.8,80,1179,1135,8.1
7.2,15.8,45.6,80,1282,1173,7.7
8.8,16.6,53.2,80,1269,1201,7.4
7.6,16.7,45.4,80,1230,1150,9.5
9.3,17.3,53.7,80,1247,1151,9.9
8,16.8,47.8,80,1295,1199,7.1
8.5,17.3,49.1,80,1382,1299,5.3
7.3,15.8,46.2,80,1380,1243,8.4
8,15.9,50.3,80,1297,1208,8.4
8.3,15.6,53.1,80,1356,1190,7.7
8.2,16.7,49.1,80,1284,1148,8.4
8.7,17.3,50.2,80,1244,1101,7.9
7.8,15.7,49.6,80,1281,1156,7.1
8.8,17,51.8,80,1247,1132,7.2
7.7,15.1,50.9,80,1415,1170,6.4
8.6,17.3,49.7,80,1352,1164,7
8.6,17.6,48.9,80,1275,1097,6.9
9.3,17.3,53.8,80,1256,1240,8.1
8.6,17.4,49.4,80,1236,1230,8.1
7.5,16.2,46.3,80,1354,1330,6.2
9.1,18.1,50.3,80,1315,1250,6.4
7.9,15.6,50.6,80,1429,1350,5.7
8.9,17.9,49.7,80,1394,1330,6.3
9,18.7,48.2,80,1259,1200,7.3
9.3,19.1,48.7,80,1203,1160,6.4
7.9,16.8,47,80,1286,1250,8
8.1,17.5,46.3,80,1301,1290,8.3
8.4,18.2,46.2,80,1268,1260,8.2
8.5,17.8,47.8,80,1256,1200,7.5
